id,tenant_id,created_by,create_date,updated_by,updated_date,details,end_date,start_date,identifier,status,subject,workspace_member_id
181,Evil Inc.,system,2024-01-02,system,2023-08-19,deliver next-generation infrastructures,2024-05-03,2023-12-26,something,CLOSED,Veeco Instruments Inc.,8
182,FreeCRM,system,2023-05-27,system,2023-07-11,engage innovative supply-chains,2024-03-14,2023-09-18,something,TODO,West Bancorporation,4
183,FreeCRM,system,2023-10-01,system,2023-12-07,target value-added vortals,2024-03-07,2024-02-18,something,TODO,"Maiden Holdings, Ltd.",10
184,FreeCRM,system,2023-06-19,system,2024-03-08,mesh end-to-end web-readiness,2024-04-01,2023-11-22,something,DONE,CMS Energy Corporation,7
185,Evil Inc.,system,2024-02-09,system,2023-06-12,orchestrate world-class markets,2024-05-02,2024-01-17,something,TODO,Sun Life Financial Inc.,11
186,FreeCRM,system,2023-05-16,system,2023-05-26,transform mission-critical e-services,2024-04-08,2023-12-03,something,CLOSED,"Art's-Way Manufacturing Co., Inc.",6
187,Evil Inc.,system,2023-08-14,system,2024-04-09,optimize cross-platform architectures,2024-03-14,2023-05-10,something,IN_PROGRESS,"United Bankshares, Inc.",11
188,FreeCRM,system,2023-10-12,system,2024-04-28,visualize strategic systems,2024-02-25,2023-07-30,something,CLOSED,Cimpress N.V,10
189,Evil Inc.,system,2024-04-12,system,2023-10-09,morph real-time bandwidth,2024-01-30,2023-08-18,something,DONE,Hudbay Minerals Inc.,3
190,Evil Inc.,system,2023-07-22,system,2024-04-21,incentivize out-of-the-box vortals,2024-04-14,2023-07-03,something,CLOSED,Cerecor Inc.,10
191,FreeCRM,system,2023-09-12,system,2023-08-20,optimize dot-com channels,2024-03-07,2023-08-24,something,DONE,"Perma-Pipe International Holdings, Inc.",8
192,FreeCRM,system,2024-04-16,system,2023-12-12,target viral vortals,2024-04-17,2024-04-16,something,DONE,Genesco Inc.,10
193,Evil Inc.,system,2024-03-21,system,2023-10-24,optimize magnetic solutions,2024-01-28,2023-12-21,something,TODO,"National Western Life Group, Inc.",7
194,FreeCRM,system,2023-08-28,system,2023-07-30,whiteboard frictionless systems,2024-04-13,2024-03-29,something,TODO,"Neenah Paper, Inc.",3
195,FreeCRM,system,2024-01-05,system,2024-03-16,synthesize user-centric architectures,2024-03-30,2023-06-01,something,DONE,Gabelli Utility Trust (The),4
196,Evil Inc.,system,2023-09-18,system,2023-05-14,unleash next-generation e-commerce,2024-04-29,2024-01-03,something,CLOSED,Charter Financial Corp.,9
197,Evil Inc.,system,2023-09-05,system,2023-05-23,grow bricks-and-clicks communities,2024-03-15,2023-07-07,something,IN_PROGRESS,"Four Corners Property Trust, Inc.",6
198,Evil Inc.,system,2024-03-02,system,2024-03-13,syndicate cutting-edge interfaces,2024-03-04,2023-05-21,something,DONE,Apollo Tactical Income Fund Inc.,10
199,Evil Inc.,system,2023-08-11,system,2023-06-19,iterate real-time communities,2024-04-05,2023-10-23,something,TODO,"The ONE Group Hospitality, Inc.",16
200,Evil Inc.,system,2024-03-23,system,2023-08-02,streamline collaborative technologies,2024-04-14,2023-08-23,something,TODO,"Key Technology, Inc.",16
